index,category,prompt,expected_response,exp006_response,exp010_response,exp006_repetitive,exp010_repetitive,exp006_response_length,exp010_response_length,exp010_likely_relevant
1,greetings,You spot a new neighbor at the front door after some time apart. What do you say?,I would welcome them naturally and ask what has been happening lately.,The first time you can be able to get a lot of your child or you to get a child or a child or a child or a child or ,I am glad you have been happy to see you.,True,False,116,41,False
2,greetings,How do you open a friendly conversation with a new neighbor after a long week?,"I would start with a warm hello, then give them room to respond.",The first time is the first time to be a good and a few minutes of the day and the other of the day is the first time to be ,I am glad you are going to see you.,True,False,124,35,False
3,greetings,You spot a new neighbor near the coffee machine after some time apart. What do you say?,I would welcome them naturally and ask what has been happening lately.,The first time you can be able to get a lot of your child or you to get a child or a child or a child or a child or ,I am glad you have been happy to see you.,True,False,116,41,False
4,greetings,How do you open a friendly conversation with a new neighbor at the market?,"I would start with a warm hello, then give them room to respond.",The first time you can be able to get a good idea to get a good way to get a lot of the world. You can be a good way,I am sorry to meet you.,True,False,116,23,False
5,greetings,You spot a new neighbor on the bus after some time apart. What do you say?,I would welcome them naturally and ask what has been happening lately.,The first time you can be able to be able to be able to be able to be able to be able to be able to be able to be ,I am sorry to meet you.,True,False,114,23,False
6,greetings,How do you open a friendly conversation with a new neighbor outside the library?,"I would start with a warm hello, then give them room to respond.",The first time you can be able to be able to be able to be able to be able to be able to be able to be able to be ,I am sorry to meet you.,True,False,114,23,False
7,greetings,You spot an old friend at the front door after some time apart. What do you say?,I would welcome them naturally and ask what has been happening lately.,The first time you have to be a good time to be a good way to get a little time to the right to the right to the next day.,I am glad you have been happy to meet you.,True,False,122,42,False
8,greetings,How do you open a friendly conversation with an old friend after a long week?,"I would start with a warm hello, then give them room to respond.",The first time is the first time to be a good and a few minutes of the day and the other of the day is the first time to be ,I am glad you are going to see you.,True,False,124,35,False
9,greetings,You spot an old friend near the coffee machine after some time apart. What do you say?,I would welcome them naturally and ask what has been happening lately.,The first time you have to be a good time to be able to be a good way to get a good time to get a good time to get ,I am glad you have been happy to meet you.,True,False,115,42,False
10,greetings,How do you open a friendly conversation with an old friend at the market?,"I would start with a warm hello, then give them room to respond.",The first time you can be able to get a good deal to get a good way to get a lot of the world. You can be a good way,I am sorry to meet you.,True,False,116,23,False
11,greetings,You spot an old friend on the bus after some time apart. What do you say?,I would welcome them naturally and ask what has been happening lately.,The first time you have to be a good deal to be able to be able to get the right to the right to the right to the right to ,I am glad you have been able to see you.,True,False,123,40,False
12,greetings,How do you open a friendly conversation with an old friend outside the library?,"I would start with a warm hello, then give them room to respond.",The first time you can be able to be able to be able to be able to be able to be able to be able to be a good way ,I am sorry to meet you.,True,False,114,23,False
13,greetings,You spot a colleague at the front door after some time apart. What do you say?,I would welcome them naturally and ask what has been happening lately.,You can be a good way to get a good way to get a good way to get a good way to get a good way to get a good ,I am sorry to meet you.,True,False,108,23,False
14,greetings,How do you open a friendly conversation with a colleague after a long week?,"I would start with a warm hello, then give them room to respond.",The first time you can be a good deal to be able to get a good amount of your child or a child or a child or a child or ,I am glad you are going to see you.,True,False,120,35,False
15,greetings,You spot a colleague near the coffee machine after some time apart. What do you say?,I would welcome them naturally and ask what has been happening lately.,The first time you can be able to get a few minutes or two or two or two or two or two or two or two or two or two ,I am sorry to meet you.,True,False,115,23,False
16,greetings,How do you open a friendly conversation with a colleague at the market?,"I would start with a warm hello, then give them room to respond.",http://wwww.org/wwwww.org/wwwwwww.htm.org/wwww.htm.org/wwwww.org/www.htm.ht,I am glad you are going to see you.,True,False,75,35,False
17,greetings,You spot a colleague on the bus after some time apart. What do you say?,I would welcome them naturally and ask what has been happening lately.,The baby is the first time you have to be a good way to get a baby or a baby or a baby or a bab,I am glad you are going to see you.,True,False,95,35,False
18,greetings,How do you open a friendly conversation with a colleague outside the library?,"I would start with a warm hello, then give them room to respond.",The first time is a good way to be a good way to be able to be a good way to get a good way to get a good place ,I am glad you are going to see you.,True,False,112,35,False
19,greetings,You spot your cousin at the front door after some time apart. What do you say?,I would welcome them naturally and ask what has been happening lately.,The first time you have to be a good deal to be able to be able to get the right to the right to the right to the right to ,I am glad you have been able to see you.,True,False,123,40,False
20,greetings,How do you open a friendly conversation with your cousin after a long week?,"I would start with a warm hello, then give them room to respond.",The first time you can be able to be a good deal to be able to get a good way to get a good way to get a good way ,I am sorry to meet you.,True,False,114,23,False
21,greetings,You spot your cousin near the coffee machine after some time apart. What do you say?,I would welcome them naturally and ask what has been happening lately.,The first time you can be able to be able to be able to be able to be able to be able to be able to be able to be ,I am glad you have been able to see you.,True,False,114,40,False
22,greetings,How do you open a friendly conversation with your cousin at the market?,"I would start with a warm hello, then give them room to respond.",The first time is a good way to be a good deal to be a good way to get a good way to the right to the right and the ,I am glad you have been happy to see you.,True,False,116,41,False
23,greetings,You spot your cousin on the bus after some time apart. What do you say?,I would welcome them naturally and ask what has been happening lately.,The first time you have to be a good way to be able to be able to get the right to the right to the right to the right and ,I am sorry to meet you.,True,False,123,23,False
24,greetings,How do you open a friendly conversation with your cousin outside the library?,"I would start with a warm hello, then give them room to respond.",The first time is the first time to be the first time of the first time to be the first time to the next day. The first time is the,I am glad you have been happy to see you.,True,False,131,41,False
25,greetings,You spot a familiar face at the front door after some time apart. What do you say?,I would welcome them naturally and ask what has been happening lately.,The first time you can be able to get a lot of your own or a few minutes or two or two or two or two or two or two ,I am glad you have been happy to meet you.,True,False,115,42,False
26,introductions,You have never met a new teammate joining the group. How do you introduce yourself?,"I would say my name, welcome them, and invite them into the conversation.",The first time you can be able to be able to be able to be able to be able to be able to be able to be able to be ,I am sorry to meet you.,True,False,114,23,True
