index,category,prompt,expected_response,exp006_response,exp010_response,exp011_response
1,positive_emotions,I cannot stop smiling about the weather cleared up after a demanding morning.,That is lovely news. I can hear how much it means to you. I wanted you to know about it.,I am sure that I have to be a good deal to be able to be able to be able to be a good way to get a good way ,I am glad you are going to see it.,I am glad we can see it more than I am glad we can see it more. I hope we can talk about it.
2,encouragement,I am losing confidence about meeting the deadline after a demanding morning.,"It is understandable to feel unsure, but your effort already counts for a lot. The next step is enough for now.",The first time is the first time to be the first time of the first time of the Earth is the first time to be the same time to the ,I am glad you have been happy to see you.,I am glad we can see it more than I am glad we can talk about. I am glad we can talk about it.
3,asking_for_help,Can we look at organizing these files after a demanding morning together?,"Yes, we can figure it out together. We can adjust if something is unclear.",€I have to be a good way to get a good deal to get a good chance to the right to the right to the right and the right ,I am glad I am glad I am glad I have been able to see it.,I have worked at a time to hear it. I hope the day is going well.
4,greetings,"Hey there, Hello after a demanding morning.","Hey, it is nice to hear from you. What have you been up to?",The first time was a great deal of the first time in the summer century. The first time was the first time of the first time in the early ,I am glad you are going to see you.,Good night! I am glad you are going well. I hope you feel comfortable again.
5,good_morning,Morning! I hope things are going well when you arrive after a demanding morning.,Good morning! I hope today feels manageable and pleasant. It is nice to begin the day positively.,I have to have a good idea of the world and the best to be a good way to do with the right to the right to the right and ,I am sorry to meet you.,Good night. I hope you feel comfortable with you. I hope you can enjoy the day feel.
6,introductions,We have not met before; my name is Riley after a demanding morning.,Nice to meet you! How are you finding things so far? It is good to have you here.,€I have to have been a good deal to do with the first time to be the first time of the world to be a good thing to the right,I am glad I have been happy to meet you.,I have been happy to hear that. I hope the situation is going well.
7,conversational_followup,Which part of an interesting book after a demanding morning would you ask about next?,That sounds interesting; what part would you like to explore further? I would be curious to hear more.,The first time is a good thing to be a good thing to be a good thing to be a good thing to the right to the right to the ,I am sorry to meet you.,I am glad I would be glad to hear it. I hope you feel comfortable with that would be happy.
8,good_morning,Morning! I hope things are going well on this weekday after a demanding morning.,Good morning! I hope today feels manageable and pleasant. I hope the day treats you kindly.,I have been a good deal to see the same time and I have to see that I have to be able to do with my own life and I ,I am glad you are going to see you.,Good night. I hope you feel comfortable with you too. I hope you feel comfortable with you so.
9,wellbeing,Have you been feeling all right this morning after a demanding morning?,"I have had a full week, but I am doing okay. I am trying to keep a balanced pace.",I have been a good deal to be a good way to do with a good deal that you can be able to get a good way to get a ,I am glad you are going to see you.,I am glad you are going well. I hope you are going well so far.
10,agreement,Does it also seem to you that the change is useful after a demanding morning?,"Yes, that is close to my own understanding of it. I am glad we see it similarly.",The first time is the first time to be the first time to be the same time to be the same time to the same time to the same time ,I am glad you have been able to make it easier.,"I have been so far well, and I hope the day is going well. I hope the day is going well."
